YEAR,NEST_ID,RING,AGE,LAY_DATE,BIRTH_COHORT,AFR,LONGEVITY,ST_LAY,SEX,CLUTCH_SIZE,BROOD_SIZE,FLEDS,5TH,15TH,25TH,5MISMATCH,15MISMATCH,25MISMATCH,BFS,5MISMATCHB,15MISMATCHB
2003,03-596,a213,14,30/04/2003,1989,4,23,178,0,2,0,0,21/12/2002,21/12/2002,21/12/2002,130,130,130,0,150,150
2003,03-292,a239,14,04/03/2003,1989,4,14,121,0,1,1,0,21/12/2002,21/12/2002,21/12/2002,73,73,73,1,93,93
2003,03-067,a259,14,20/01/2003,1989,5,22,78,0,1,1,1,21/12/2002,21/12/2002,21/12/2002,30,30,30,1,50,50
2003,03-516,a281,14,29/04/2003,1989,4,23,177,0,2,0,0,21/12/2002,21/12/2002,21/12/2002,129,129,129,0,149,149
2003,03-766,a399,14,24/05/2003,1989,4,17,202,0,1,0,0,21/12/2002,21/12/2002,21/12/2002,154,154,154,0,174,174
2003,03-513,a426,14,29/04/2003,1989,4,14,177,0,2,0,0,21/12/2002,21/12/2002,21/12/2002,129,129,129,0,149,149
2003,03-550,a428,14,02/05/2003,1989,5,14,180,0,1,0,0,21/12/2002,21/12/2002,21/12/2002,132,132,132,0,152,152
2003,03-614,a450,14,01/05/2003,1989,4,15,179,0,2,0,0,21/12/2002,21/12/2002,21/12/2002,131,131,131,0,151,151
2003,03-617,a513,14,01/05/2003,1989,4,14,179,0,1,0,0,21/12/2002,21/12/2002,21/12/2002,131,131,131,0,151,151
2003,03-605,a736,14,30/04/2003,1989,5,14,178,0,1,0,0,21/12/2002,21/12/2002,21/12/2002,130,130,130,0,150,150
2003,03-144,b008,12,20/02/2003,1991,4,18,109,0,1,1,1,21/12/2002,21/12/2002,21/12/2002,61,61,61,1,81,81
2003,03-155,b052,12,14/02/2003,1991,3,22,103,0,1,1,0,21/12/2002,21/12/2002,21/12/2002,55,55,55,1,75,75
2003,03-448,b116,12,27/04/2003,1991,4,22,175,0,2,0,0,21/12/2002,21/12/2002,21/12/2002,127,127,127,0,147,147
