"season_year","yearly_median","bloom_start_thr5","value_at_bloom_thr5","threshold_thr5","bloom_start_thr15","value_at_bloom_thr15","threshold_thr15","bloom_start_thr25","value_at_bloom_thr25","threshold_thr25","bloom_start_thr30","value_at_bloom_thr30","threshold_thr30","diff_days_5_vs_15","diff_days_5_vs_30"
2003,0.735783591,"01/12/2002",3.87935829,0.77257277055,"01/12/2002",3.87935829,0.84615112965,"01/12/2002",3.87935829,0.91972948875,"01/12/2002",3.87935829,0.9565186683,0,0
2004,0.789721035,"14/12/2003",0.922973557,0.82920708675,"14/12/2003",0.922973557,0.90817919025,"25/12/2003",0.756571051,0.98715129375,"25/12/2003",0.756571051,1.0266373455,0,11
2005,0.6007930765,"07/12/2004",0.642225546,0.630832730325,"05/01/2005",0.641045989,0.690912037975,"14/01/2005",0.869264335,0.750991345625,NA,NA,NA,29,NA
2006,1.171103608,"02/12/2005",0.580070311,1.2296587884,"23/12/2005",1.193914355,1.3467691492,"30/12/2005",1.766616784,1.46387951,NA,NA,NA,21,NA
2007,0.7959149,"14/12/2006",0.743646467,0.835710645,"15/12/2006",0.820224437,0.915302135,"15/12/2006",0.820224437,0.994893625,"15/12/2006",0.820224437,1.03468937,1,1
2008,2.641186841,"15/12/2007",2.017395818,2.77324618305,"18/12/2007",6.122015492,3.03736486715,"18/12/2007",6.122015492,3.30148355125,"18/12/2007",6.122015492,3.4335428933,3,3
2009,1.1020689415,"31/12/2008",2.385186105,1.157172388575,"31/12/2008",2.385186105,1.267379282725,"14/02/2009",1.039098977,1.377586176875,NA,NA,NA,0,NA
2010,0.716545986,"01/12/2009",1.502555854,0.7523732853,"01/12/2009",1.502555854,0.8240278839,"04/12/2009",0.88857304,0.8956824825,"08/12/2009",0.868678602,0.9315097818,0,7
2011,2.481962929,"06/01/2011",1.2352164,2.60606107545,"09/01/2011",3.84261155,2.85425736835,"09/01/2011",3.84261155,3.10245366125,"09/01/2011",3.84261155,3.2265518077,3,3
2012,1.871460651,"15/12/2011",1.040805583,1.96503368355,"17/12/2011",1.560011253,2.15217974865,"17/12/2011",1.560011253,2.33932581375,"17/12/2011",1.560011253,2.4328988463,2,2
2013,0.828602108,"01/12/2012",0.924014585,0.8700322134,"17/12/2012",1.121763036,0.9528924242,"29/12/2012",0.804069725,1.035752635,"29/12/2012",0.804069725,1.0771827404,16,28
2014,0.689974165,"19/01/2014",0.559087564,0.72447287325,"21/01/2014",0.390986171,0.79347028975,"23/04/2014",0.906136491,0.86246770625,"23/04/2014",0.906136491,0.8969664145,2,94
2015,0.756156956,"02/12/2014",0.756156956,0.7939648038,"02/12/2014",0.756156956,0.8695804994,NA,NA,NA,NA,NA,NA,0,NA
2016,0.5510545055,"01/12/2015",1.16869206,0.578607230775,"01/12/2015",1.16869206,0.633712681325,"01/12/2015",1.16869206,0.688818131875,"01/12/2015",1.16869206,0.71637085715,0,0
2017,0.8471324545,"01/12/2016",0.982365057,0.889489077225,"11/01/2017",1.087744019,0.974202322675,"11/01/2017",1.087744019,1.058915568125,"12/01/2017",1.143519099,1.10127219085,41,42
2018,1.019808186,"16/02/2018",0.52973094,1.0707985953,"16/02/2018",0.52973094,1.1727794139,"16/02/2018",0.52973094,1.2747602325,"16/02/2018",0.52973094,1.3257506418,0,0
2019,0.719544832,"06/12/2018",0.537291199,0.7555220736,"06/12/2018",0.537291199,0.8274765568,"03/05/2019",0.67900981,0.89943104,"03/05/2019",0.67900981,0.9354082816,0,148
2020,0.7624709705,"12/12/2019",0.986331231,0.800594519025,"12/12/2019",0.986331231,0.876841616075,"17/12/2019",1.791909291,0.953088713125,"17/12/2019",1.791909291,0.99121226165,0,5
2021,1.3589781395,"27/12/2020",1.175892959,1.426927046475,"03/01/2021",3.354190954,1.562824860425,"15/01/2021",1.399696539,1.698722674375,"15/01/2021",1.399696539,1.76667158135,7,19
2022,1.242881582,"17/02/2022",1.011715406,1.3050256611,"23/02/2022",1.381138297,1.4293138193,"12/03/2022",2.504754001,1.5536019775,"12/03/2022",2.504754001,1.6157460566,6,23
2023,1.1263307535,"22/01/2023",1.083732743,1.182647291175,"27/01/2023",1.171758413,1.295280366525,"29/01/2023",1.252525904,1.407913441875,"30/01/2023",1.211083298,1.46422997955,5,8
