Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Q18,0,0,-6713.171846,65.4196779,435.1059735,8.7208838,13426.34369,130.8393558
Q19,-0.957651101,2.111917007,-6714.129497,65.40262583,399.7186034,8.184749882,13428.25899,130.8052517
Q17,-1.035967,2.114464944,-6714.207813,65.42198965,399.9871112,8.344130799,13428.41563,130.8439793
Q20,-1.182426475,2.281074962,-6714.354273,65.4421436,425.460934,8.58745466,13428.70855,130.8842872
Q22,-1.54144962,0.370563075,-6714.713296,65.41406533,438.246129,8.803318288,13429.42659,130.8281307
Q10,-1.664201961,0.377389688,-6714.836048,65.43623088,437.9005432,8.827677157,13429.6721,130.8724618
Q11,-1.98876254,2.137777676,-6715.160609,65.43521933,402.4526905,8.289041539,13430.32122,130.8704387
Q23,-1.991723011,2.087524792,-6715.163569,65.39345684,397.8437319,8.044604851,13430.32714,130.7869137
Q12,-2.413197707,2.298372668,-6715.585044,65.46478409,427.8954882,8.703103168,13431.17009,130.9295682
Q15,-2.46036713,2.115608765,-6715.632213,65.40460439,401.4467538,8.188379866,13431.26443,130.8092088
Q24,-2.473444798,2.264501773,-6715.645291,65.41598055,420.2707416,8.420947375,13431.29058,130.8319611
Q21,-2.643344552,2.074652634,-6715.815191,65.43612019,398.9174856,8.250126626,13431.63038,130.8722404
Q14,-2.690361442,0.389744371,-6715.862208,65.41285898,438.3897446,8.776104955,13431.72442,130.825718
Q13,-3.462033019,2.079871446,-6716.633879,65.46204679,400.6325582,8.341974424,13433.26776,130.9240936
Q16,-3.526263556,2.271748439,-6716.69811,65.43488855,425.7116221,8.555717156,13433.39622,130.8697771
m12,-8.348007074,5.155508909,-6721.519853,65.55554124,460.0358847,9.869432944,13443.03971,131.1110825
m9,-8.605620648,5.155771389,-6721.777467,65.47984561,435.4581864,9.633511583,13443.55493,130.9596912
m11,-8.703413222,5.137537599,-6721.875259,65.49074883,436.7963085,9.506291592,13443.75052,130.9814977
m10,-8.716809694,4.734141719,-6721.888656,65.48866049,467.6720078,9.930357512,13443.77731,130.977321
m14,-9.029606644,4.725720559,-6722.201453,65.51139571,475.8389877,10.12748754,13444.40291,131.0227914
m16,-9.636939313,5.139927367,-6722.808786,65.56910912,462.0112385,9.872399736,13445.61757,131.1382182
m13,-9.904164554,5.162346899,-6723.076011,65.54127267,438.1851022,9.742977614,13446.15202,131.0825453
m15,-10.11002114,5.157936082,-6723.281867,65.52493291,436.8980907,9.527055886,13446.56373,131.0498658
Q5,-20.01217193,6.469906,-6733.184018,65.8406774,443.7656354,10.77181644,13466.36804,131.6813548
Q7,-20.51192474,6.365371373,-6733.683771,65.87420693,455.3632207,10.87573265,13467.36754,131.7484139
Q8,-20.95780473,6.400149493,-6734.129651,65.92450159,473.7919451,11.09325603,13468.2593,131.8490032
m6,-23.60081618,7.488606652,-6736.772662,65.73171002,488.195576,11.08242463,13473.54532,131.46342
m8,-24.27796421,7.708929943,-6737.44981,65.81026868,490.4542236,11.13174407,13474.89962,131.6205374
m5,-25.08169989,7.834967708,-6738.253546,65.69548536,450.0277086,10.56484773,13476.50709,131.3909707
m7,-26.17731871,7.691556481,-6739.349165,65.71211086,459.9276039,10.62694097,13478.69833,131.4242217
Q2,-28.2886216,7.459445943,-6741.460468,65.76167288,344.9126482,6.510601447,13482.92094,131.5233458
Q1,-29.13201365,7.718878712,-6742.30386,65.74695501,301.4938131,5.347895683,13484.60772,131.49391
Q4,-30.87202588,7.666284008,-6744.043872,65.71788607,322.0727644,5.943617226,13488.08774,131.4357721
m2,-33.22345808,8.562235646,-6746.395304,65.66532786,355.2179588,6.585838047,13492.79061,131.3306557
m1,-34.23360774,8.804576017,-6747.405454,65.65769387,316.2181907,5.529415737,13494.81091,131.3153877
m4,-35.11033254,8.82597841,-6748.282179,65.67814158,327.8538888,5.733371406,13496.56436,131.3562832
ABS10,-340.3435181,25.10631058,-7053.515364,65.03546085,452.2914356,9.538198835,14107.03073,130.0709217
ABS14,-341.9196462,25.14080594,-7055.091492,65.02220214,426.6547986,8.961039259,14110.18298,130.0444043
ABS13,-343.1077594,25.30861625,-7056.279606,64.99543486,358.8984969,8.051706358,14112.55921,129.9908697
ABS16,-343.709201,25.28750562,-7056.881047,64.97592205,374.725395,8.024081262,14113.76209,129.9518441
ABS15,-343.7946272,25.30534296,-7056.966473,64.97492043,362.974961,7.944107625,14113.93295,129.9498409
ABS9,-344.5385851,25.3069271,-7057.710431,65.04729505,365.518093,8.339113901,14115.42086,130.0945901
ABS12,-345.0608211,25.2789269,-7058.232667,65.07518922,384.6867878,8.329004841,14116.46533,130.1503784
ABS11,-345.1544632,25.29206052,-7058.326309,65.033788,367.7323718,8.220927509,14116.65262,130.067576
ABS6,-381.3788177,27.28563835,-7094.550664,65.25652632,475.4361775,9.772917859,14189.10133,130.5130526
ABS2,-385.9791627,27.64678127,-7099.151009,65.19595449,389.6285936,7.470402518,14198.30202,130.391909
ABS8,-386.699989,27.4032933,-7099.871835,65.32541141,411.2486818,8.717945668,14199.74367,130.6508228
ABS5,-388.4389905,27.50247963,-7101.610837,65.23714591,365.5231563,8.020562611,14203.22167,130.4742918
ABS7,-388.7822473,27.27442968,-7101.954094,65.26087809,405.4830804,8.760548413,14203.90819,130.5217562
ABS1,-391.146782,27.85780975,-7104.318628,65.15499068,292.4346578,4.983427041,14208.63726,130.3099814
ABS4,-391.6649674,27.85901144,-7104.836814,65.19287147,307.0464622,5.209082901,14209.67363,130.3857429
