Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Q21,0,0,-7126.090237,68.43014032,408.5612302,7.968839386,14252.18047,136.8602806
Q17,-0.106937072,1.310532746,-7126.197174,68.51386276,411.5941361,8.154549469,14252.39435,137.0277255
Q20,-0.241113553,1.526968846,-7126.33135,68.44224599,440.6517658,8.581730166,14252.6627,136.884492
Q9,-0.386167357,1.346250269,-7126.476404,68.50933107,415.3829347,8.248739932,14252.95281,137.0186621
Q24,-0.395520086,0.895378433,-7126.485757,68.39169124,437.1213818,8.425451075,14252.97151,136.7833825
Q19,-0.564217647,1.332543642,-7126.654454,68.46681123,411.5673238,7.972992577,14253.30891,136.9336225
Q13,-0.645847477,0.405641132,-7126.736084,68.45880352,412.4210912,8.102000898,14253.47217,136.917607
Q18,-0.895090822,1.24711382,-7126.985328,68.4575516,420.1619182,8.076160189,14253.97066,136.9151032
Q23,-0.979403638,0.465948242,-7127.06964,68.41527842,407.0878448,7.78722064,14254.13928,136.8305568
Q11,-1.267024253,1.368315161,-7127.357261,68.51041292,415.6803511,8.115528339,14254.71452,137.0208258
Q22,-1.396622009,0.510488568,-7127.486859,68.41794636,415.0646092,7.92852037,14254.97372,136.8358927
Q12,-1.499111549,1.648939151,-7127.589348,68.47452318,450.1984344,8.905839581,14255.1787,136.9490464
m13,-1.638016228,2.611403284,-7127.728253,68.51340988,429.0632824,8.721379175,14255.45651,137.0268198
m9,-1.854130739,2.809318537,-7127.944368,68.51895006,431.1279753,8.81980318,14255.88874,137.0379001
m11,-1.87522117,2.809101542,-7127.965458,68.52356575,432.6871528,8.681079773,14255.93092,137.0471315
Q10,-1.942320395,1.285370266,-7128.032557,68.48037834,421.7706979,8.171343247,14256.06511,136.9607567
Q16,-1.968393666,1.11268797,-7128.05863,68.41826687,447.500357,8.766560455,14256.11726,136.8365337
m12,-2.049870451,2.911129917,-7128.140107,68.49832552,446.8258619,8.938233986,14256.28021,136.996651
Q15,-2.141859165,0.524141566,-7128.232096,68.47507401,412.9035954,7.966567071,14256.46419,136.950148
Q14,-2.585858913,0.621512381,-7128.676096,68.44214123,414.2685195,7.94673906,14257.35219,136.8842825
m10,-3.001775741,2.773297766,-7129.092013,68.49418018,437.0120838,8.682514709,14258.18403,136.9883604
m16,-3.059131671,2.726149062,-7129.149368,68.46557919,444.7971374,8.835417743,14258.29874,136.9311584
m14,-3.149413988,2.610447712,-7129.239651,68.46936622,435.6328316,8.632547579,14258.4793,136.9387324
m15,-3.234973311,2.613113419,-7129.32521,68.50439997,430.6421935,8.597603305,14258.65042,137.0087999
m5,-19.90613031,6.832170287,-7145.996367,68.84416404,487.1347448,11.02764777,14291.99273,137.6883281
Q5,-20.16287129,6.521276655,-7146.253108,68.91014126,490.8354425,11.24223555,14292.50622,137.8202825
Q8,-21.08061133,6.474346732,-7147.170848,68.88766719,524.3283491,11.7103338,14294.3417,137.7753344
Q7,-21.26393376,6.349244141,-7147.354171,68.93935331,508.5894358,11.51017892,14294.70834,137.8787066
Q6,-21.94001676,6.502929456,-7148.030254,68.95728872,500.2499976,11.3296987,14296.06051,137.9145774
m6,-21.98726807,6.796156196,-7148.077505,68.83301571,497.0737372,11.05017577,14296.15501,137.6660314
m7,-22.04746166,6.743763943,-7148.137698,68.90776323,506.5034746,11.42113386,14296.2754,137.8155265
m8,-22.31659137,6.831681918,-7148.406828,68.86820238,513.3538884,11.33720429,14296.81366,137.7364048
Q4,-25.40592668,7.840254281,-7151.496163,68.63457379,439.6591247,9.544505374,14302.99233,137.2691476
m4,-26.15357467,8.027177944,-7152.243811,68.61347805,410.5577437,8.0213157,14304.48762,137.2269561
m1,-27.30816467,8.017310057,-7153.398401,68.72542491,369.9055388,6.327145647,14306.7968,137.4508498
m3,-27.37667802,7.82672087,-7153.466915,68.77222065,404.8296378,7.224653817,14306.93383,137.5444413
Q1,-27.40338752,7.91678287,-7153.493624,68.75978265,366.8535778,6.306780538,14306.98725,137.5195653
m2,-28.70122368,7.999753962,-7154.79146,68.69486655,381.344817,6.556690556,14309.58292,137.3897331
Q2,-29.02714422,7.904837796,-7155.117381,68.77591933,377.550321,6.534068799,14310.23476,137.5518387
ABS15,-403.1141864,26.30719349,-7529.204423,67.9099562,331.7756258,6.034121216,15058.40885,135.8199124
ABS13,-403.4096729,26.33244116,-7529.49991,67.92079267,320.1808893,6.122224338,15058.99982,135.8415853
ABS14,-404.1924698,26.34585576,-7530.282707,67.90313135,325.577584,6.035279417,15060.56541,135.8062627
ABS11,-409.2685202,26.37840171,-7535.358757,67.94363745,342.0652844,6.282128819,15070.71751,135.8872749
ABS9,-409.6183072,26.42937463,-7535.708544,67.97823155,327.993806,6.368522149,15071.41709,135.9564631
ABS12,-410.7498059,26.46168678,-7536.840043,67.96602027,344.932587,6.695063193,15073.68009,135.9320405
ABS3,-461.1865364,28.43351915,-7587.276773,68.00499865,426.5425383,8.262968329,15174.55355,136.0099973
ABS7,-462.1451023,28.36430227,-7588.235339,68.03995342,443.0945069,8.860790012,15176.47068,136.0799068
ABS5,-464.6287879,28.71867681,-7590.719025,67.91450955,360.7840843,6.904292819,15181.43805,135.8290191
ABS1,-464.8612637,28.85910185,-7590.951501,67.85673727,325.0878182,5.307138458,15181.903,135.7134745
ABS4,-465.3626285,28.87821983,-7591.452865,67.85790557,333.2675242,5.459882314,15182.90573,135.7158111
ABS8,-466.3297317,28.68993631,-7592.419968,67.9923598,391.9312864,7.517783558,15184.83994,135.9847196
ABS2,-466.8945639,28.81949593,-7592.984801,67.8241269,378.7993383,6.500126843,15185.9696,135.6482538
ABS6,-467.4920537,28.68302858,-7593.58229,67.88057924,409.9536235,7.596824571,15187.16458,135.7611585
