"Sex","Model","Low_ESS_Count","Problematic_Parameters"
"female","m1",0,NA
"female","m10",0,NA
"female","m11",0,NA
"female","m12",1,"cor_RING__TIME__sigma_Intercept"
"female","m2",0,NA
"female","m3",0,NA
"female","m4",0,NA
"female","m5",0,NA
"female","m6",1,"cor_RING__TIME__sigma_Intercept"
"female","m7",0,NA
"female","m8",0,NA
"female","m9",1,"cor_RING__TIME__sigma_Intercept"
"male","m1",0,NA
"male","m10",0,NA
"male","m11",0,NA
"male","m12",1,"cor_RING__TIME__sigma_Intercept"
"male","m2",0,NA
"male","m3",0,NA
"male","m4",0,NA
"male","m5",0,NA
"male","m6",1,"cor_RING__TIME__sigma_Intercept"
"male","m7",0,NA
"male","m8",0,NA
"male","m9",1,"cor_RING__TIME__sigma_Intercept"
